,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,team_name,player_name,zone,date_time,caseId,end_time
200732564,1,Ground defending duel,"[503, 701, 1802]",3347,"[{'y': 78, 'x': 69}, {'y': 95, 'x': 63}]",2565647,Duel,676,2H,4422.132794,12,Barcelona,Sergi Roberto,C3,2018-05-20 01:13:42.132794,204.0,2018-05-20 01:13:42.132794
200732420,1,Ground attacking duel,"[703, 1801]",7972,"[{'y': 51, 'x': 62}, {'y': 53, 'x': 65}]",2565647,Duel,676,2H,3936.747965,11,Barcelona,L. Suarez,C2,2018-05-20 01:05:36.747965,186.0,2018-05-20 01:05:38.668483
200732367,8,Simple pass,[1801],3269,"[{'y': 13, 'x': 32}, {'y': 20, 'x': 29}]",2565647,Pass,676,2H,3803.556457,85,Barcelona,Jordi Alba,B1,2018-05-20 01:03:23.556457,180.0,2018-05-20 01:03:23.556457
200731063,8,Simple pass,[1801],3347,"[{'y': 76, 'x': 35}, {'y': 23, 'x': 34}]",2565647,Pass,676,1H,49.713619,85,Barcelona,Sergi Roberto,B3,2018-05-20 00:00:49.713619,2.0,2018-05-20 00:00:49.713619
200732104,3,Throw in,[1801],3269,"[{'y': 0, 'x': 61}, {'y': 7, 'x': 72}]",2565647,Free Kick,676,2H,2937.72645,36,Barcelona,Jordi Alba,C1,2018-05-20 00:48:57.726450,142.0,2018-05-20 00:48:57.726450
247597944,1,Ground attacking duel,"[504, 703, 1801]",0,"[{'y': 88, 'x': 38}, {'y': 80, 'x': 45}]",2565889,Duel,676,1H,847.487402,11,Barcelona,unknown,B3,2018-05-20 02:14:07.487402,288.0,2018-05-20 02:14:07.487402
200732115,1,Ground defending duel,"[702, 1801]",3269,"[{'y': 33, 'x': 26}, {'y': 19, 'x': 28}]",2565647,Duel,676,2H,2975.681778,12,Barcelona,Jordi Alba,B2,2018-05-20 00:49:35.681778,145.0,2018-05-20 00:49:35.681778
200731250,3,Throw in,[1801],3347,"[{'y': 100, 'x': 28}, {'y': 88, 'x': 19}]",2565647,Free Kick,676,1H,522.507041,36,Barcelona,Sergi Roberto,B3,2018-05-20 00:08:42.507041,26.0,2018-05-20 00:08:46.320470
200732782,8,Simple pass,[1801],3346,"[{'y': 31, 'x': 56}, {'y': 5, 'x': 64}]",2565647,Pass,676,2H,5261.779089,85,Barcelona,Sergio Busquets,C1,2018-05-20 01:27:41.779089,238.0,2018-05-20 01:27:41.779089
200731070,7,Touch,[],3346,"[{'y': 18, 'x': 24}, {'y': 42, 'x': 34}]",2565647,Others on the ball,676,1H,72.801136,72,Barcelona,Sergio Busquets,A1,2018-05-20 00:01:12.801136,3.0,2018-05-20 00:01:22.354491
200731993,8,Simple pass,[1801],3346,"[{'y': 81, 'x': 36}, {'y': 97, 'x': 51}]",2565647,Pass,676,1H,2560.760143,85,Barcelona,Sergio Busquets,B3,2018-05-20 00:42:40.760143,125.0,2018-05-20 00:42:40.760143
200731231,8,Simple pass,[1801],25397,"[{'y': 20, 'x': 40}, {'y': 9, 'x': 67}]",2565647,Pass,676,1H,488.092581,85,Barcelona,S. Umtiti,B1,2018-05-20 00:08:08.092581,22.0,2018-05-20 00:08:08.092581
200731470,8,Simple pass,[1801],40550,"[{'y': 45, 'x': 71}, {'y': 10, 'x': 95}]",2565647,Pass,676,1H,1151.950697,85,Barcelona,Paulinho,C2,2018-05-20 00:19:11.950697,61.0,2018-05-20 00:19:11.950697
247597517,1,Ground defending duel,"[701, 1802]",3802,"[{'y': 21, 'x': 62}, {'y': 25, 'x': 58}]",2565889,Duel,676,2H,4405.700893,12,Barcelona,Philippe Coutinho,C1,2018-05-20 03:13:25.700893,420.0,2018-05-20 03:13:30.082615
200731565,8,Simple pass,[1801],3269,"[{'y': 8, 'x': 35}, {'y': 39, 'x': 51}]",2565647,Pass,676,1H,1438.568489,85,Barcelona,Jordi Alba,B1,2018-05-20 00:23:58.568489,73.0,2018-05-20 00:23:58.568489
200732359,2,Foul,[1702],3341,"[{'y': 69, 'x': 18}, {'y': 74, 'x': 19}]",2565647,Foul,676,2H,3716.589588,20,Barcelona,Pique,A3,2018-05-20 01:01:56.589588,179.0,2018-05-20 01:01:56.589588
247597604,8,Simple pass,[1801],3346,"[{'y': 63, 'x': 70}, {'y': 15, 'x': 75}]",2565889,Pass,676,2H,4781.550455,85,Barcelona,Sergio Busquets,C2,2018-05-20 03:19:41.550455,432.0,2018-05-20 03:19:41.550455
247597412,1,Air duel,"[703, 1801]",3341,"[{'y': 76, 'x': 44}, {'y': 72, 'x': 42}]",2565889,Duel,676,2H,3724.744517,10,Barcelona,Pique,B3,2018-05-20 03:02:04.744517,394.0,2018-05-20 03:02:04.744517
247597080,7,Clearance,[1802],25397,"[{'y': 34, 'x': 1}, {'y': 0, 'x': 5}]",2565889,Others on the ball,676,2H,2796.95021,71,Barcelona,S. Umtiti,A2,2018-05-20 02:46:36.950210,354.0,2018-05-20 02:46:36.950210
247596686,8,Simple pass,[1801],3802,"[{'y': 49, 'x': 32}, {'y': 81, 'x': 38}]",2565889,Pass,676,1H,2098.894175,85,Barcelona,Philippe Coutinho,B2,2018-05-20 02:34:58.894175,330.0,2018-05-20 02:34:58.894175
247595988,8,Simple pass,[1801],3346,"[{'y': 10, 'x': 61}, {'y': 2, 'x': 58}]",2565889,Pass,676,1H,69.128356,85,Barcelona,Sergio Busquets,C1,2018-05-20 02:01:09.128356,256.0,2018-05-20 02:01:09.128356
247597533,7,Acceleration,[1801],3269,"[{'y': 18, 'x': 54}, {'y': 47, 'x': 77}]",2565889,Others on the ball,676,2H,4519.098707,70,Barcelona,Jordi Alba,C1,2018-05-20 03:15:19.098707,421.0,2018-05-20 03:15:22.742726
200732304,1,Ground attacking duel,"[502, 703, 1801]",3476,"[{'y': 90, 'x': 70}, {'y': 80, 'x': 58}]",2565647,Duel,676,2H,3585.511378,11,Barcelona,I. Rakitic,C3,2018-05-20 00:59:45.511378,172.0,2018-05-20 00:59:45.511378
200731801,8,Simple pass,[1802],3359,"[{'y': 19, 'x': 33}, {'y': 28, 'x': 60}]",2565647,Pass,676,1H,2054.522321,85,Barcelona,L. Messi,B1,2018-05-20 00:34:14.522321,101.0,2018-05-20 00:34:14.522321
200735151,1,Ground defending duel,"[502, 703, 1801]",0,"[{'y': 23, 'x': 14}, {'y': 15, 'x': 6}]",2565647,Duel,676,1H,1013.19585,12,Barcelona,unknown,A1,2018-05-20 00:16:53.195850,56.0,2018-05-20 00:16:53.195850
200732369,8,Simple pass,[1801],40550,"[{'y': 18, 'x': 46}, {'y': 15, 'x': 57}]",2565647,Pass,676,2H,3809.734006,85,Barcelona,Paulinho,B1,2018-05-20 01:03:29.734006,180.0,2018-05-20 01:03:29.734006
200732743,1,Ground loose ball duel,"[701, 1802]",7972,"[{'y': 25, 'x': 39}, {'y': 13, 'x': 32}]",2565647,Duel,676,2H,5030.344766,13,Barcelona,L. Suarez,B1,2018-05-20 01:23:50.344766,229.0,2018-05-20 01:23:50.344766
200731069,8,Simple pass,[1802],25397,"[{'y': 15, 'x': 42}, {'y': 9, 'x': 46}]",2565647,Pass,676,1H,67.369384,85,Barcelona,S. Umtiti,B1,2018-05-20 00:01:07.369384,2.0,2018-05-20 00:01:07.369384
200731062,8,Simple pass,[1801],3341,"[{'y': 62, 'x': 32}, {'y': 76, 'x': 35}]",2565647,Pass,676,1H,46.064252,85,Barcelona,Pique,B2,2018-05-20 00:00:46.064252,2.0,2018-05-20 00:00:46.064252
200731709,8,Simple pass,[1801],25397,"[{'y': 32, 'x': 35}, {'y': 53, 'x': 46}]",2565647,Pass,676,1H,1800.358627,85,Barcelona,S. Umtiti,B1,2018-05-20 00:30:00.358627,91.0,2018-05-20 00:30:00.358627
200732271,8,Simple pass,[1801],25397,"[{'y': 16, 'x': 25}, {'y': 4, 'x': 30}]",2565647,Pass,676,2H,3454.663083,85,Barcelona,S. Umtiti,B1,2018-05-20 00:57:34.663083,168.0,2018-05-20 00:57:34.663083
247596717,8,Launch,[1802],15008,"[{'y': 47, 'x': 3}, {'y': 71, 'x': 41}]",2565889,Pass,676,1H,2218.913381,84,Barcelona,M. ter Stegen,A2,2018-05-20 02:36:58.913381,334.0,2018-05-20 02:36:58.913381
200732563,8,Simple pass,[1802],3476,"[{'y': 65, 'x': 71}, {'y': 71, 'x': 71}]",2565647,Pass,676,2H,4418.582289,85,Barcelona,I. Rakitic,C2,2018-05-20 01:13:38.582289,204.0,2018-05-20 01:13:38.582289
200732763,8,Simple pass,[1802],7972,"[{'y': 9, 'x': 66}, {'y': 16, 'x': 63}]",2565647,Pass,676,2H,5196.533604,85,Barcelona,L. Suarez,C1,2018-05-20 01:26:36.533604,235.0,2018-05-20 01:26:36.533604
247597343,1,Air duel,"[703, 1801]",25397,"[{'y': 45, 'x': 7}, {'y': 39, 'x': 26}]",2565889,Duel,676,2H,3470.102454,10,Barcelona,S. Umtiti,A2,2018-05-20 02:57:50.102454,380.0,2018-05-20 02:57:50.102454
200732638,9,Reflexes,"[1205, 1801]",15008,"[{'y': 100, 'x': 100}, {'y': 75, 'x': 13}]",2565647,Save attempt,676,2H,4668.489254,90,Barcelona,M. ter Stegen,D3,2018-05-20 01:17:48.489254,216.0,2018-05-20 01:17:48.489254
200732764,1,Ground defending duel,"[702, 1801]",25397,"[{'y': 26, 'x': 32}, {'y': 57, 'x': 54}]",2565647,Duel,676,2H,5199.724155,12,Barcelona,S. Umtiti,B1,2018-05-20 01:26:39.724155,235.0,2018-05-20 01:26:39.724155
200731551,8,Simple pass,[1801],25397,"[{'y': 12, 'x': 17}, {'y': 44, 'x': 8}]",2565647,Pass,676,1H,1354.757429,85,Barcelona,S. Umtiti,A1,2018-05-20 00:22:34.757429,70.0,2018-05-20 00:22:34.757429
247596861,8,Simple pass,[1801],25397,"[{'y': 14, 'x': 7}, {'y': 5, 'x': 18}]",2565889,Pass,676,1H,2663.318779,85,Barcelona,S. Umtiti,A1,2018-05-20 02:44:23.318779,349.0,2018-05-20 02:44:23.318779
247597429,1,Air duel,"[703, 1801]",25397,"[{'y': 7, 'x': 24}, {'y': 0, 'x': 22}]",2565889,Duel,676,2H,3853.626605,10,Barcelona,S. Umtiti,A1,2018-05-20 03:04:13.626605,398.0,2018-05-20 03:04:13.626605
200735141,1,Air duel,"[701, 1802]",0,"[{'y': 31, 'x': 40}, {'y': 43, 'x': 36}]",2565647,Duel,676,1H,128.352308,10,Barcelona,unknown,B1,2018-05-20 00:02:08.352308,7.0,2018-05-20 00:02:11.444675
200732208,1,Ground defending duel,"[501, 701, 1802]",3347,"[{'y': 92, 'x': 9}, {'y': 93, 'x': 6}]",2565647,Duel,676,2H,3271.922113,12,Barcelona,Sergi Roberto,A3,2018-05-20 00:54:31.922113,163.0,2018-05-20 00:54:31.922113
200732783,8,Simple pass,[1801],3269,"[{'y': 5, 'x': 64}, {'y': 30, 'x': 65}]",2565647,Pass,676,2H,5264.163379,85,Barcelona,Jordi Alba,C1,2018-05-20 01:27:44.163379,238.0,2018-05-20 01:27:44.163379
200732716,1,Ground attacking duel,"[501, 703, 1801]",40550,"[{'y': 43, 'x': 66}, {'y': 45, 'x': 65}]",2565647,Duel,676,2H,4967.267621,11,Barcelona,Paulinho,C2,2018-05-20 01:22:47.267621,225.0,2018-05-20 01:22:48.030531
247597949,1,Ground loose ball duel,"[702, 1801]",0,"[{'y': 86, 'x': 38}, {'y': 100, 'x': 20}]",2565889,Duel,676,1H,1303.377004,13,Barcelona,unknown,B3,2018-05-20 02:21:43.377004,302.0,2018-05-20 02:21:43.377004
247596349,8,Simple pass,[1801],3476,"[{'y': 48, 'x': 55}, {'y': 5, 'x': 57}]",2565889,Pass,676,1H,1081.131356,85,Barcelona,I. Rakitic,C2,2018-05-20 02:18:01.131356,296.0,2018-05-20 02:18:01.131356
200731123,8,Simple pass,[1801],211885,"[{'y': 16, 'x': 64}, {'y': 8, 'x': 67}]",2565647,Pass,676,1H,194.572654,85,Barcelona,Andre Gomes,C1,2018-05-20 00:03:14.572654,12.0,2018-05-20 00:03:14.572654
200732204,7,Touch,[1401],3347,"[{'y': 84, 'x': 10}, {'y': 100, 'x': 13}]",2565647,Others on the ball,676,2H,3257.581783,72,Barcelona,Sergi Roberto,A3,2018-05-20 00:54:17.581783,162.0,2018-05-20 00:54:17.581783
200732487,8,Head pass,[1801],3341,"[{'y': 85, 'x': 8}, {'y': 94, 'x': 13}]",2565647,Pass,676,2H,4171.347952,82,Barcelona,Pique,A3,2018-05-20 01:09:31.347952,195.0,2018-05-20 01:09:31.347952
200732725,8,Head pass,[1802],40550,"[{'y': 71, 'x': 72}, {'y': 43, 'x': 90}]",2565647,Pass,676,2H,4979.932278,82,Barcelona,Paulinho,C3,2018-05-20 01:22:59.932278,226.0,2018-05-20 01:22:59.932278
247597682,1,Ground attacking duel,"[703, 1801]",7972,"[{'y': 62, 'x': 74}, {'y': 51, 'x': 79}]",2565889,Duel,676,2H,5243.5265,11,Barcelona,L. Suarez,C2,2018-05-20 03:27:23.526500,441.0,2018-05-20 03:27:25.833321
